paragraph_id,comp_00,comp_01,comp_02,comp_03,comp_04,comp_05,comp_06,comp_07,comp_08,comp_09
11,2.328579654545151e-16,1.2034073753681793e-16,4.337780724957238e-17,5.607005415765911e-18,2.8629675361485796e-20,0.9999999999972715,3.6752650811940083e-16,5.010644403669761e-16,9.370399246442838e-18,2.7845281887030343e-12
12,9.231869184474332e-17,6.805074999533587e-16,1.7830030169237663e-17,0.9999999999663487,1.5846809818867968e-18,3.1825933653482855e-11,7.995037449043976e-14,8.904282834754755e-16,6.55120710491594e-17,1.701798237407481e-12
13,0.005967850210496118,0.0008130842522176388,0.00015167817621564278,0.0005212401850556961,4.551450997911012e-06,0.001959620541403574,0.02425833679473982,0.005037950951301074,0.0001462357816950492,0.9611394516558772
14,0.0018859326611474583,0.0018955038770032968,0.00010633746632865726,0.005034355341160163,1.1698358875244965e-05,0.005535890927391172,0.04141404651814389,0.0022374981967258267,0.0018463858681161652,0.9400323507850863
15,0.00012151211664997864,0.00032990172955942504,2.7897369894052044e-05,0.00011036551555682827,7.318583918700548e-07,0.0015682246388089198,0.009160594886644917,0.00048286701318712023,6.255985738283173e-05,0.9881353450138113
16,0.0026187011005025405,0.031948994612417694,5.2143397301441656e-05,0.0005926501872873291,4.2786127867774776e-06,0.002838624933906161,0.034418545528108864,0.00819988610239168,0.0004944377539551081,0.9188317377713071
17,0.0030717317604076998,0.0027720599260718263,0.00033332460724617145,0.004748607598049489,1.6441165057041244e-05,0.007630783345044503,0.045305655516667716,0.06105460046538978,0.00010302858342953646,0.8749637670326701
18,0.0007526681652850336,0.00042223248425705024,2.785379027010612e-05,7.845167165089115e-05,7.407544676515339e-06,0.0008156798161797094,0.01036347938650285,0.035792417697773124,0.00013736390723771068,0.9516024455362072
19,0.0010868601667718186,0.0029058617745498084,0.00020409211559498702,0.05692906825137097,5.654189703223092e-05,0.001864464899635088,0.03490239716824023,0.0024391419893921534,0.0011255694874134099,0.8984860022499872
20,0.00036140004883576324,0.0009094156956593905,4.501431694936473e-05,0.0009257133534552966,4.6516756515768094e-05,0.002672989248004868,0.04668041599861266,0.0008685903719782317,0.0029023422601408082,0.9445876019498892
21,7.397004265979052e-06,6.0020501636003716e-05,2.1775132995265732e-06,0.0020772003498677,1.250875321942077e-06,0.005054398713863035,0.005784976143546604,0.0002136014295236612,5.257177063187421e-06,0.9867937202916707
22,0.00017013956832730411,0.00041860100984037054,1.1195488530098191e-06,0.00012544014829866818,5.778510879636932e-07,0.0005200549303414821,0.0030322112698328127,6.832783887223643e-05,5.3381435337481324e-05,0.9956101463991279
23,0.00013202376725264983,0.0016875173697369944,0.016747394979105566,0.0003935036274488201,4.6515961510080915e-07,0.0009926607475655707,0.045590183793209636,0.022886025363106213,7.523440695288699e-05,0.9114949907859721
